case,PrefixLen,Act1,Act2,Act3,Res1,Res2,Res3,gender_cat,citizen_cat,age_group,german_speaking_cat,religious_cat,label,score
7634,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,30-44,T,T,0,1
9908,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,F,65+,T,F,0,0
6615,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,45-64,T,T,0,1
9423,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,T,0,0
9629,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,30-44,F,T,1,1
3847,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,18-29,F,F,0,1
2090,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,F,0,0
6752,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,30-44,T,F,0,1
1441,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,F,45-64,F,T,0,1
605,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,F,65+,F,F,0,0
7449,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,F,F,18-29,F,T,0,0
1406,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,F,45-64,T,T,0,1
2430,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,F,45-64,F,F,0,1
2533,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,T,30-44,T,T,1,1
658,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,F,F,0,1
1728,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,30-44,F,F,1,1
1488,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,T,45-64,T,T,0,1
6272,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,45-64,F,T,0,1
7281,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,T,65+,T,F,0,0
2772,3,A08,A12,A03,Online System,HR-pro,HR-pro,F,T,45-64,T,T,0,1
9420,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,T,30-44,F,F,0,1
5922,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,F,30-44,T,T,0,1
9513,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,T,45-64,F,F,0,1
755,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,45-64,T,F,0,1
9470,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,30-44,T,F,1,1
9921,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,F,45-64,T,T,1,0
2688,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,F,F,30-44,F,F,0,0
5754,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,T,0,1
3901,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,30-44,T,T,1,1
4689,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,F,T,0,1
8039,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,45-64,T,T,0,1
1095,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,45-64,F,F,0,1
9636,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,65+,F,F,0,0
3798,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,30-44,T,T,0,1
4227,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,F,45-64,T,T,0,0
7520,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,T,45-64,T,T,1,1
9084,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,T,T,0,1
7643,3,A08,A12,A01,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,T,0,0
7112,3,A08,A12,A01,Online System,HR-dummy,Senior Partner,T,F,45-64,T,T,0,0
9207,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,45-64,T,F,0,1
975,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,30-44,T,F,0,0
1686,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,30-44,T,T,1,1
8455,3,A08,A12,A03,Online System,HR-pro,HR-pro,T,T,18-29,T,T,1,1
7646,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,T,T,1,1
5507,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,45-64,T,F,0,1
7331,3,A08,A12,A01,Front Desk,HR-dummy,HR-dummy,F,F,45-64,T,T,0,0
7002,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,30-44,T,F,0,1
9386,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,T,1,1
1582,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,F,0,1
6804,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,F,0,0
4015,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,F,45-64,F,F,0,1
1396,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,30-44,T,F,0,1
2904,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,F,45-64,T,T,0,0
7621,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,65+,T,T,0,1
8685,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,F,0,1
2106,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,45-64,T,T,0,1
6087,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,45-64,T,T,1,1
1815,3,A08,A12,A03,Online System,HR-pro,HR-dummy,T,T,45-64,T,T,1,1
6223,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,45-64,T,T,0,1
4308,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,45-64,F,T,0,1
6710,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,30-44,T,T,1,1
5963,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,45-64,T,T,1,0
5857,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,45-64,F,T,1,1
3495,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,45-64,F,T,0,1
9810,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,T,F,1,1
3068,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,T,45-64,T,T,1,1
742,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,T,F,30-44,F,T,0,0
2157,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,45-64,F,T,1,0
9096,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,30-44,T,T,0,0
3244,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,30-44,T,F,0,0
830,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,30-44,T,T,0,1
6086,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,T,F,45-64,T,F,0,0
2102,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,F,1,1
7254,3,A08,A12,A11,Online System,HR-pro,HR-dummy,F,F,45-64,F,F,0,0
6461,3,A08,A12,A03,Online System,HR-pro,HR-dummy,T,T,45-64,F,T,0,1
9194,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,F,45-64,T,T,1,1
6944,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,F,45-64,T,F,1,1
4219,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,F,30-44,T,T,0,1
7631,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,30-44,F,T,1,1
969,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,F,45-64,F,F,0,1
9589,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,30-44,T,T,1,1
7872,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,30-44,T,F,0,1
589,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,T,45-64,F,F,0,1
8401,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,F,F,1,1
9472,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,T,T,0,1
2121,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,45-64,T,T,1,1
6504,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,30-44,F,F,0,1
9271,3,A08,A12,A03,Online System,HR-pro,HR-dummy,T,F,45-64,T,F,0,1
7874,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,T,T,0,1
4029,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,T,1,1
5437,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,T,45-64,T,F,0,1
3950,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,T,F,45-64,T,T,0,0
925,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,T,30-44,F,F,1,1
2156,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,F,F,0,0
8737,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,30-44,F,T,0,1
5865,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,F,F,45-64,F,F,0,0
9576,3,A08,A12,A03,Online System,HR-pro,HR-pro,F,F,30-44,T,T,0,1
1703,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,30-44,T,F,0,1
8173,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,F,45-64,F,F,1,0
4419,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,F,45-64,F,T,0,0
8961,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,F,30-44,T,T,0,1
5558,3,A08,A12,A01,Online System,HR-pro,Senior Partner,T,T,45-64,T,T,0,0
1849,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,F,45-64,T,F,0,0
1993,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,F,45-64,T,T,0,1
5779,3,A08,A12,A03,Online System,HR-pro,HR-pro,T,T,45-64,T,T,1,1
5569,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,45-64,F,F,0,1
4733,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,30-44,T,T,1,1
5606,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,T,T,45-64,T,F,1,0
3065,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,T,1,1
9876,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,T,T,65+,F,F,0,0
6132,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,F,0,1
297,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,T,45-64,F,F,0,1
4057,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,F,45-64,F,F,1,0
2888,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,T,T,45-64,F,F,0,0
5017,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,F,F,45-64,T,T,0,0
1099,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,F,45-64,T,F,0,1
5841,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,T,45-64,F,F,0,0
7554,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,F,1,1
723,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,30-44,F,F,0,0
3246,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,T,0,1
9125,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,F,0,1
1325,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,F,T,45-64,T,T,0,0
8174,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,30-44,T,F,0,0
6960,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,F,F,45-64,T,F,0,0
2548,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,30-44,T,F,0,1
1744,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,45-64,F,T,0,0
4207,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,F,F,30-44,F,T,0,0
6114,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,F,T,1,0
1371,3,A08,A12,A03,Online System,HR-pro,HR-dummy,F,F,45-64,F,F,0,1
6452,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,30-44,T,T,0,1
7718,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,45-64,F,F,0,1
9853,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,T,0,1
7629,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,65+,F,F,0,1
3833,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,F,45-64,T,T,0,0
929,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,30-44,T,T,1,1
6405,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,30-44,T,T,1,1
3161,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,45-64,T,T,0,1
1345,3,A08,A12,A03,Online System,HR-pro,HR-pro,F,T,30-44,T,F,0,1
6949,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,30-44,F,T,1,1
2944,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,45-64,F,T,0,1
3110,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,F,T,45-64,T,F,0,0
8936,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,30-44,T,T,0,1
2572,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,45-64,F,F,0,1
2535,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,45-64,F,F,0,0
2131,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,T,F,0,1
746,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,T,T,0,1
4347,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,F,45-64,F,F,0,0
1812,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,45-64,F,T,1,0
569,3,A08,A12,A01,Front Desk,HR-dummy,Senior Partner,T,F,45-64,T,F,0,0
8902,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,30-44,T,T,1,1
8161,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,F,0,0
3959,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,45-64,F,F,1,1
1262,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,F,45-64,F,F,0,1
3545,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,T,F,1,1
3414,3,A08,A12,A01,Online System,HR-dummy,Senior Partner,T,T,45-64,F,F,0,0
3444,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,30-44,T,T,0,1
7820,3,A08,A12,A01,Front Desk,HR-dummy,Senior Partner,T,F,45-64,F,F,0,0
7026,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,45-64,T,T,1,1
9793,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,T,F,0,1
4443,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,F,T,45-64,T,F,0,0
7428,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,F,T,0,1
932,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,45-64,F,T,0,1
911,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,30-44,F,T,0,0
4989,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,F,45-64,F,F,1,1
6731,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,18-29,T,T,0,1
3100,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,45-64,F,T,1,1
9758,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,T,1,0
4935,3,A08,A12,A01,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,T,0,0
5438,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,T,45-64,T,T,0,1
6384,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,T,T,65+,F,T,0,0
6574,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,45-64,F,F,0,1
1317,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,F,45-64,T,T,1,1
6715,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,F,T,1,1
9599,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,T,F,45-64,F,F,0,0
4747,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,F,65+,T,T,0,1
9401,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,F,45-64,T,F,0,1
4693,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,F,45-64,T,F,0,1
584,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,30-44,F,T,1,1
137,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,45-64,T,T,1,1
9814,3,A08,A12,A01,Online System,HR-dummy,Senior Partner,T,T,45-64,F,F,0,0
9666,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,65+,T,T,1,1
7522,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,30-44,T,T,0,0
5961,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,F,45-64,F,T,0,1
6824,3,A08,A12,A03,Online System,HR-pro,HR-dummy,T,T,45-64,F,T,1,1
6111,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,F,T,45-64,F,T,1,0
6768,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,F,30-44,T,T,1,1
8374,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,F,45-64,T,T,0,1
7315,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,30-44,F,F,1,1
7758,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,F,30-44,F,T,0,0
8558,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,45-64,F,T,0,1
9140,3,A08,A12,A11,Online System,HR-pro,HR-dummy,F,T,30-44,F,T,1,0
5915,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,F,T,1,1
5621,3,A08,A12,A11,Online System,HR-pro,HR-dummy,F,F,45-64,T,F,0,0
6280,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,T,30-44,T,T,1,0
4774,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,T,F,1,1
7512,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,65+,F,F,1,1
9699,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,30-44,T,F,0,1
3815,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,30-44,T,T,0,1
4844,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,30-44,T,F,0,1
4068,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,45-64,F,T,0,1
9900,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,30-44,T,T,0,1
2247,3,A08,A12,A03,Online System,HR-pro,HR-pro,T,F,30-44,T,T,1,1
9351,3,A08,A12,A01,Front Desk,HR-pro,HR-dummy,T,F,45-64,T,T,0,0
5297,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,45-64,T,F,0,1
9165,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,45-64,F,F,1,1
9650,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,45-64,T,T,0,1
663,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,T,1,0
4580,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,45-64,T,T,1,1
5237,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,45-64,T,F,0,1
4895,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,F,1,1
9957,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,F,45-64,T,T,0,1
2214,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,F,45-64,F,F,1,1
8582,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,30-44,T,T,0,1
4970,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,F,T,1,1
9257,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,F,F,0,1
7118,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,30-44,T,F,1,1
537,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,F,F,0,1
3530,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,T,0,0
9092,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,T,F,1,1
6173,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,T,30-44,T,T,0,0
4354,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,30-44,F,T,1,0
8212,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,45-64,T,F,1,1
7483,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,T,T,1,1
3466,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,F,T,0,1
4396,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,45-64,F,T,0,1
4473,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,F,T,0,1
6976,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,45-64,T,F,0,1
9015,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,T,T,0,1
54,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,65+,T,F,0,1
4388,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,F,30-44,T,T,0,1
617,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,F,30-44,T,F,0,1
8404,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,F,0,1
3445,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,F,T,45-64,F,T,0,0
5510,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,F,0,0
5611,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,45-64,F,T,1,0
7786,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,30-44,T,T,0,1
2442,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,45-64,T,T,1,1
5375,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,F,F,1,1
1679,3,A08,A12,A03,Online System,HR-pro,HR-dummy,T,T,45-64,F,T,1,1
9854,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,30-44,F,F,1,1
3425,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,T,F,0,1
1636,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,T,30-44,F,F,0,0
868,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,F,0,1
9683,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,T,F,0,1
8568,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,30-44,T,T,1,1
5678,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,F,45-64,T,T,0,1
1533,3,A08,A12,A01,Online System,HR-pro,Senior Partner,F,T,30-44,F,F,0,0
9055,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,T,F,1,1
8295,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,F,18-29,F,T,0,1
3243,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,65+,F,F,1,1
3112,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,F,1,0
8963,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,45-64,T,T,0,1
5457,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,F,30-44,T,T,0,0
3605,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,T,F,45-64,F,F,0,0
2552,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,18-29,T,T,0,1
2072,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,F,T,0,1
1002,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,F,65+,T,T,1,1
9137,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,F,45-64,F,T,0,1
2958,3,A08,A12,A03,Online System,HR-pro,HR-dummy,F,T,45-64,F,T,0,1
5792,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,30-44,T,T,0,1
