case,PrefixLen,Act1,Act2,Act3,Act4,Act5,gender_cat,citizen_cat,age_group,german_speaking_cat,religious_cat,label,score
5995,5,A08,A12,A03,A11,A06,T,F,45-64,F,T,1,0
410,5,A08,A12,A11,A03,A01,T,T,45-64,F,T,0,0
2121,5,A08,A12,A03,A11,A05,F,T,45-64,T,T,1,1
5233,5,A08,A12,A11,A03,A05,T,F,30-44,T,T,0,1
3100,5,A08,A12,A11,A03,A05,F,T,45-64,F,T,1,1
4568,5,A08,A12,A11,A03,A05,T,T,65+,F,F,1,1
5760,5,A08,A12,A11,A03,A01,F,T,45-64,F,F,0,0
1220,5,A08,A12,A03,A11,A06,T,F,45-64,F,T,0,0
4591,5,A08,A12,A03,A11,A06,F,F,45-64,T,F,0,0
7810,5,A08,A12,A03,A11,A05,F,T,30-44,F,T,1,1
6165,5,A08,A12,A11,A03,A05,F,F,65+,F,T,1,1
1520,5,A08,A12,A11,A03,A06,F,T,65+,T,F,0,1
6170,5,A08,A12,A03,A11,A01,F,F,45-64,F,F,0,0
3507,5,A08,A12,A03,A11,A01,F,F,45-64,T,T,0,0
7423,5,A08,A12,A11,A03,A06,F,T,65+,F,F,1,1
3082,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,1,0
5604,5,A08,A12,A11,A03,A05,F,T,45-64,T,F,0,1
1862,5,A08,A12,A03,A11,A05,F,T,65+,T,T,0,1
6179,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
4006,5,A08,A12,A03,A11,A05,T,F,65+,F,T,1,1
3288,5,A08,A12,A11,A03,A05,F,F,30-44,T,T,0,1
1799,5,A08,A12,A03,A11,A01,F,T,65+,F,T,0,0
2012,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
7332,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
203,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,0,1
859,5,A08,A12,A11,A03,A06,T,T,65+,T,T,0,1
6298,5,A08,A12,A03,A11,A06,T,F,45-64,T,T,0,0
7442,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,1,1
929,5,A08,A12,A03,A11,A05,T,T,30-44,T,T,1,1
6766,5,A08,A12,A11,A03,A01,T,F,30-44,F,F,0,0
8070,5,A08,A12,A11,A03,A06,T,T,45-64,F,T,0,1
1100,5,A08,A12,A03,A11,A05,T,F,45-64,T,T,0,1
5979,5,A08,A12,A03,A11,A01,F,T,45-64,T,F,0,0
6448,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,0,1
2287,5,A08,A12,A11,A03,A01,F,T,45-64,T,F,0,0
5982,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
1941,5,A08,A12,A11,A03,A06,F,T,45-64,T,F,1,1
1310,5,A08,A12,A03,A11,A06,F,F,45-64,T,F,0,0
5445,5,A08,A12,A11,A03,A05,T,T,30-44,T,T,1,1
6819,5,A08,A12,A03,A11,A05,F,F,45-64,F,T,0,1
1395,5,A08,A12,A11,A03,A06,F,F,45-64,T,T,0,1
8458,5,A08,A12,A11,A03,A05,T,F,45-64,T,T,1,1
7070,5,A08,A12,A03,A11,A05,T,F,45-64,T,T,1,1
2713,5,A08,A12,A11,A03,A06,T,F,45-64,T,F,0,1
8929,5,A08,A12,A03,A11,A05,T,T,30-44,F,T,1,1
8958,5,A08,A12,A03,A11,A01,T,F,30-44,F,F,0,0
6880,5,A08,A12,A03,A11,A01,F,F,65+,T,T,0,0
2421,5,A08,A12,A03,A11,A01,F,T,45-64,F,F,0,0
4622,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
7445,5,A08,A12,A03,A11,A06,F,T,30-44,T,T,0,0
3012,5,A08,A12,A11,A03,A06,T,T,45-64,F,T,0,1
6130,5,A08,A12,A03,A11,A06,F,F,45-64,T,T,1,0
4778,5,A08,A12,A03,A11,A06,T,T,45-64,T,F,0,0
5348,5,A08,A12,A11,A03,A01,T,T,30-44,T,T,0,0
1922,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,0,1
5859,5,A08,A12,A03,A11,A06,T,F,45-64,F,T,0,0
1584,5,A08,A12,A11,A03,A05,T,T,45-64,F,T,1,1
4325,5,A08,A12,A11,A03,A01,F,F,30-44,T,T,0,0
7548,5,A08,A12,A11,A03,A06,T,T,45-64,F,F,0,1
2978,5,A08,A12,A11,A03,A06,T,T,65+,T,T,0,1
2378,5,A08,A12,A03,A11,A06,F,T,45-64,T,T,0,0
3573,5,A08,A12,A11,A03,A01,F,F,45-64,T,T,0,0
8743,5,A08,A12,A11,A03,A01,F,T,45-64,T,T,0,0
5578,5,A08,A12,A11,A03,A06,F,F,45-64,T,F,0,1
4130,5,A08,A12,A03,A11,A01,T,F,45-64,T,F,0,0
7929,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,0,0
7232,5,A08,A12,A03,A11,A05,F,T,30-44,F,T,0,1
6668,5,A08,A12,A11,A03,A01,T,T,30-44,T,T,0,0
8876,5,A08,A12,A03,A11,A05,T,F,45-64,T,F,0,1
7792,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,0,0
279,5,A08,A12,A03,A11,A01,F,T,30-44,T,T,0,0
5569,5,A08,A12,A11,A03,A06,F,F,45-64,F,F,0,1
5177,5,A08,A12,A11,A03,A06,F,F,30-44,T,T,1,1
785,5,A08,A12,A11,A03,A06,T,T,45-64,T,T,1,1
9270,5,A08,A12,A03,A11,A01,T,T,30-44,F,T,0,0
2819,5,A08,A12,A11,A03,A05,T,F,45-64,F,T,1,1
1282,5,A08,A12,A11,A03,A01,T,T,45-64,T,F,0,0
6368,5,A08,A12,A11,A03,A05,T,T,30-44,T,T,1,1
6575,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,0,0
1139,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
2738,5,A08,A12,A03,A11,A01,F,T,30-44,T,F,0,0
8790,5,A08,A12,A03,A11,A06,T,T,45-64,T,F,1,0
3011,5,A08,A12,A11,A03,A06,T,F,30-44,F,T,0,1
5769,5,A08,A12,A03,A11,A01,T,F,45-64,T,F,0,0
3950,5,A08,A12,A11,A03,A01,T,F,45-64,T,T,0,0
3152,5,A08,A12,A03,A11,A01,F,F,30-44,T,F,0,0
8366,5,A08,A12,A03,A11,A01,F,F,45-64,F,T,0,0
1568,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,1,1
6701,5,A08,A12,A11,A03,A05,F,T,45-64,T,F,1,1
6843,5,A08,A12,A03,A11,A01,F,T,45-64,F,T,0,0
5801,5,A08,A12,A03,A11,A05,T,F,30-44,F,F,1,1
9579,5,A08,A12,A03,A11,A05,T,T,65+,F,F,1,1
3921,5,A08,A12,A03,A11,A05,F,T,18-29,T,T,0,1
3685,5,A08,A12,A11,A03,A05,F,T,65+,T,F,0,1
1258,5,A08,A12,A03,A11,A05,T,F,45-64,F,F,1,1
9772,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
598,5,A08,A12,A11,A03,A06,F,F,30-44,T,T,0,1
9009,5,A08,A12,A03,A11,A06,T,T,45-64,F,F,0,0
5221,5,A08,A12,A03,A11,A05,F,F,45-64,T,T,0,1
4286,5,A08,A12,A03,A11,A01,T,F,45-64,T,T,0,0
7894,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,1,1
920,5,A08,A12,A11,A03,A05,F,F,45-64,T,F,1,1
7628,5,A08,A12,A03,A11,A06,T,F,65+,T,T,0,0
4818,5,A08,A12,A03,A11,A05,T,F,45-64,F,F,1,1
9760,5,A08,A12,A03,A11,A01,T,F,45-64,F,T,0,0
3575,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,0,1
6114,5,A08,A12,A11,A03,A05,T,T,45-64,F,T,1,1
3233,5,A08,A12,A03,A11,A06,F,F,65+,F,T,0,0
1949,5,A08,A12,A03,A11,A05,T,F,30-44,T,T,1,1
8707,5,A08,A12,A11,A03,A05,T,T,30-44,F,F,1,1
3333,5,A08,A12,A03,A11,A01,T,F,45-64,F,T,0,0
8664,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
9673,5,A08,A12,A03,A11,A06,T,T,45-64,T,F,1,0
9317,5,A08,A12,A03,A11,A05,F,T,30-44,F,F,1,1
626,5,A08,A12,A03,A11,A01,T,T,30-44,T,T,0,0
8741,5,A08,A12,A03,A11,A05,F,T,45-64,T,F,1,1
4991,5,A08,A12,A11,A03,A06,F,F,45-64,T,F,0,1
3547,5,A08,A12,A03,A11,A01,F,F,45-64,F,F,0,0
6567,5,A08,A12,A11,A03,A05,T,F,45-64,T,T,1,1
8852,5,A08,A12,A11,A03,A06,F,F,45-64,T,T,1,1
6590,5,A08,A12,A03,A11,A01,T,F,45-64,F,T,0,0
5918,5,A08,A12,A03,A11,A06,F,F,45-64,T,F,0,0
9520,5,A08,A12,A11,A03,A06,F,F,45-64,T,F,0,1
7620,5,A08,A12,A03,A11,A05,T,T,45-64,F,F,1,1
3644,5,A08,A12,A03,A11,A01,T,T,30-44,F,F,0,0
8120,5,A08,A12,A11,A03,A05,T,F,30-44,F,F,1,1
8053,5,A08,A12,A03,A11,A05,T,F,30-44,F,T,1,1
4503,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,1,1
4340,5,A08,A12,A11,A03,A05,T,F,45-64,T,T,1,1
887,5,A08,A12,A03,A11,A05,T,F,30-44,T,T,1,1
3103,5,A08,A12,A11,A03,A05,F,T,45-64,F,F,0,1
8608,5,A08,A12,A03,A11,A05,T,T,30-44,T,T,1,1
104,5,A08,A12,A03,A11,A01,T,F,45-64,F,F,0,0
3087,5,A08,A12,A11,A03,A06,T,F,45-64,T,T,1,1
5113,5,A08,A12,A03,A11,A05,T,F,30-44,T,T,0,1
9601,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,1,1
6870,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,1,1
6523,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,1,1
8277,5,A08,A12,A11,A03,A06,T,F,45-64,T,F,0,1
1470,5,A08,A12,A11,A03,A01,F,T,45-64,F,T,0,0
1715,5,A08,A12,A03,A11,A06,F,F,65+,T,F,0,0
966,5,A08,A12,A03,A11,A05,F,T,45-64,F,F,0,1
9826,5,A08,A12,A03,A11,A06,F,T,45-64,F,T,0,0
9687,5,A08,A12,A11,A03,A01,T,F,45-64,T,F,0,0
6395,5,A08,A12,A03,A11,A06,F,F,65+,F,T,0,0
1893,5,A08,A12,A03,A11,A01,F,T,30-44,F,T,0,0
8603,5,A08,A12,A11,A03,A06,T,T,30-44,T,T,0,1
5850,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,1,1
5042,5,A08,A12,A03,A11,A05,F,T,45-64,T,T,0,1
2767,5,A08,A12,A03,A11,A01,T,T,30-44,T,T,0,0
7366,5,A08,A12,A11,A03,A05,F,T,30-44,F,T,1,1
4081,5,A08,A12,A03,A11,A06,T,F,30-44,F,T,1,0
8706,5,A08,A12,A03,A11,A01,F,T,45-64,F,F,0,0
1397,5,A08,A12,A03,A11,A06,F,F,45-64,T,F,0,0
9863,5,A08,A12,A11,A03,A01,T,F,45-64,T,T,0,0
5701,5,A08,A12,A11,A03,A05,F,T,45-64,F,F,0,1
3319,5,A08,A12,A03,A11,A01,T,F,30-44,T,F,0,0
1781,5,A08,A12,A03,A11,A01,F,T,45-64,F,F,0,0
22,5,A08,A12,A03,A11,A05,F,F,45-64,T,T,1,1
1421,5,A08,A12,A03,A11,A01,F,T,45-64,F,T,0,0
9952,5,A08,A12,A03,A11,A05,F,T,30-44,F,T,1,1
3768,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
4018,5,A08,A12,A11,A03,A05,T,T,30-44,T,T,1,1
2327,5,A08,A12,A03,A11,A05,T,F,45-64,T,T,1,1
9076,5,A08,A12,A11,A03,A01,F,T,45-64,T,T,0,0
6336,5,A08,A12,A03,A11,A06,F,F,45-64,F,T,0,0
8343,5,A08,A12,A11,A03,A05,F,T,30-44,T,T,1,1
3042,5,A08,A12,A11,A03,A05,F,T,45-64,T,F,1,1
8905,5,A08,A12,A03,A11,A06,T,F,65+,F,T,0,0
8318,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,1,1
4163,5,A08,A12,A11,A03,A01,F,F,45-64,T,F,0,0
9713,5,A08,A12,A03,A11,A01,F,T,30-44,T,T,0,0
3913,5,A08,A12,A11,A03,A05,F,T,30-44,T,F,1,1
227,5,A08,A12,A03,A11,A01,T,F,45-64,F,T,0,0
60,5,A08,A12,A03,A11,A05,T,F,45-64,T,T,1,1
6364,5,A08,A12,A03,A11,A06,T,T,45-64,T,F,0,0
1305,5,A08,A12,A11,A03,A05,F,F,45-64,T,T,1,1
207,5,A08,A12,A11,A03,A05,F,F,65+,F,F,1,1
5829,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,1,1
6132,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,0,0
9778,5,A08,A12,A11,A03,A01,T,F,45-64,T,T,0,0
2282,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
7034,5,A08,A12,A03,A11,A01,T,F,30-44,T,F,0,0
8805,5,A08,A12,A11,A03,A05,T,T,45-64,F,T,0,1
9955,5,A08,A12,A11,A03,A06,F,F,45-64,F,F,0,1
6030,5,A08,A12,A11,A03,A06,F,F,65+,F,F,0,1
6907,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,0,1
2125,5,A08,A12,A03,A11,A06,T,T,30-44,T,T,1,0
4928,5,A08,A12,A03,A11,A05,F,F,45-64,T,F,0,1
8977,5,A08,A12,A11,A03,A06,F,T,45-64,T,F,0,1
690,5,A08,A12,A11,A03,A06,T,F,45-64,T,F,0,1
9035,5,A08,A12,A03,A11,A05,F,F,45-64,T,F,0,1
1849,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,0,1
3149,5,A08,A12,A11,A03,A01,T,F,45-64,F,T,0,0
1485,5,A08,A12,A03,A11,A05,F,F,45-64,F,T,0,1
8153,5,A08,A12,A11,A03,A01,F,T,45-64,T,F,0,0
2691,5,A08,A12,A03,A11,A05,F,F,30-44,T,T,1,1
7437,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,0,1
2764,5,A08,A12,A11,A03,A01,F,T,30-44,T,T,0,0
8234,5,A08,A12,A11,A03,A06,F,F,45-64,F,F,0,1
1631,5,A08,A12,A11,A03,A01,F,T,65+,F,F,0,0
6154,5,A08,A12,A11,A03,A01,T,T,30-44,F,T,0,0
1504,5,A08,A12,A03,A11,A01,T,F,30-44,T,F,0,0
4842,5,A08,A12,A11,A03,A06,F,F,45-64,T,T,0,1
439,5,A08,A12,A11,A03,A05,T,F,45-64,F,T,1,1
9287,5,A08,A12,A11,A03,A05,F,T,45-64,F,T,1,1
2859,5,A08,A12,A03,A11,A01,F,F,30-44,T,F,0,0
3212,5,A08,A12,A11,A03,A01,F,F,45-64,T,F,0,0
8978,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,0,1
360,5,A08,A12,A11,A03,A06,F,T,45-64,T,F,0,1
9391,5,A08,A12,A03,A11,A05,F,T,45-64,F,F,1,1
6936,5,A08,A12,A11,A03,A06,T,F,45-64,F,T,0,1
2344,5,A08,A12,A03,A11,A05,T,T,30-44,T,T,0,1
3143,5,A08,A12,A11,A03,A05,F,F,65+,F,T,1,1
2373,5,A08,A12,A11,A03,A06,T,T,45-64,F,T,1,1
1127,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,1,1
9890,5,A08,A12,A03,A11,A06,F,F,65+,F,F,0,0
2243,5,A08,A12,A03,A11,A01,F,F,45-64,F,F,0,0
6092,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
7665,5,A08,A12,A03,A11,A05,T,F,30-44,F,T,1,1
3438,5,A08,A12,A03,A11,A06,T,T,30-44,F,T,0,0
6846,5,A08,A12,A11,A03,A05,F,F,45-64,T,F,0,1
3937,5,A08,A12,A11,A03,A05,T,F,45-64,T,T,1,1
4762,5,A08,A12,A11,A03,A05,T,T,45-64,F,F,1,1
7516,5,A08,A12,A03,A11,A06,T,T,45-64,F,T,0,0
8746,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
2054,5,A08,A12,A11,A03,A01,F,F,45-64,T,T,0,0
974,5,A08,A12,A03,A11,A06,F,T,30-44,T,T,1,0
3533,5,A08,A12,A11,A03,A06,T,F,45-64,F,F,0,1
9216,5,A08,A12,A11,A03,A06,F,T,30-44,F,F,0,1
8268,5,A08,A12,A11,A03,A01,T,F,45-64,T,T,0,0
2699,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
704,5,A08,A12,A11,A03,A01,F,F,45-64,T,T,0,0
4491,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
9091,5,A08,A12,A03,A11,A06,T,F,45-64,F,F,0,0
70,5,A08,A12,A11,A03,A05,T,F,45-64,T,T,0,1
1834,5,A08,A12,A11,A03,A01,T,F,45-64,T,T,0,0
8777,5,A08,A12,A03,A11,A05,F,F,45-64,T,T,0,1
6652,5,A08,A12,A03,A11,A01,F,F,45-64,T,T,0,0
4314,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,1,1
1763,5,A08,A12,A03,A11,A05,T,F,45-64,T,T,0,1
9901,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
5597,5,A08,A12,A11,A03,A05,F,F,30-44,T,T,0,1
1740,5,A08,A12,A11,A03,A01,F,T,65+,T,T,0,0
8229,5,A08,A12,A03,A11,A01,F,T,45-64,F,T,0,0
8440,5,A08,A12,A03,A11,A05,F,F,65+,T,F,1,1
496,5,A08,A12,A11,A03,A06,F,F,45-64,T,F,1,1
7560,5,A08,A12,A11,A03,A01,T,T,45-64,F,F,0,0
8447,5,A08,A12,A11,A03,A05,F,T,45-64,F,F,1,1
2638,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,0,1
5200,5,A08,A12,A03,A11,A05,F,T,30-44,T,F,0,1
6770,5,A08,A12,A11,A03,A06,F,T,65+,T,T,1,1
4527,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
3668,5,A08,A12,A11,A03,A01,T,T,45-64,F,F,0,0
4209,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,1,1
9077,5,A08,A12,A11,A03,A05,F,T,45-64,F,T,1,1
2825,5,A08,A12,A11,A03,A01,F,T,45-64,T,T,0,0
6488,5,A08,A12,A11,A03,A01,F,F,30-44,F,T,0,0
3561,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,0,1
2098,5,A08,A12,A03,A11,A06,T,T,65+,F,T,1,0
8762,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
7881,5,A08,A12,A11,A03,A06,T,F,30-44,T,T,0,1
5282,5,A08,A12,A03,A11,A01,F,F,45-64,F,T,0,0
8065,5,A08,A12,A11,A03,A06,T,F,45-64,T,T,1,1
139,5,A08,A12,A03,A11,A01,T,F,30-44,F,T,0,0
1216,5,A08,A12,A11,A03,A01,F,T,45-64,F,F,0,0
7284,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
1776,5,A08,A12,A11,A03,A06,T,T,45-64,F,T,1,1
7452,5,A08,A12,A03,A11,A01,T,F,45-64,F,F,0,0
2162,5,A08,A12,A11,A03,A01,T,T,45-64,T,F,0,0
142,5,A08,A12,A11,A03,A05,F,T,45-64,T,T,1,1
3983,5,A08,A12,A03,A11,A01,T,F,30-44,T,T,0,0
5294,5,A08,A12,A11,A03,A05,F,T,45-64,T,F,0,1
5189,5,A08,A12,A03,A11,A06,F,T,45-64,T,F,0,0
291,5,A08,A12,A03,A11,A05,F,F,45-64,T,F,1,1
1371,5,A08,A12,A03,A11,A05,F,F,45-64,F,F,0,1
827,5,A08,A12,A03,A11,A05,T,F,45-64,F,F,1,1
6745,5,A08,A12,A03,A11,A01,T,F,45-64,F,F,0,0
5664,5,A08,A12,A03,A11,A01,F,F,30-44,T,F,0,0
4732,5,A08,A12,A11,A03,A05,F,F,30-44,F,F,1,1
2820,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,0,1
1639,5,A08,A12,A11,A03,A06,F,T,45-64,F,F,0,1
6029,5,A08,A12,A11,A03,A01,T,F,30-44,T,F,0,0
9364,5,A08,A12,A03,A11,A01,F,T,30-44,T,T,0,0
1925,5,A08,A12,A03,A11,A06,T,T,45-64,F,T,0,0
926,5,A08,A12,A03,A11,A01,T,F,30-44,F,F,0,0
6605,5,A08,A12,A11,A03,A05,T,T,45-64,F,F,1,1
7365,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
4943,5,A08,A12,A11,A03,A01,F,T,45-64,T,F,0,0
2234,5,A08,A12,A11,A03,A06,F,T,30-44,F,T,0,1
5869,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,1,1
9128,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,0,1
9789,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
7967,5,A08,A12,A03,A11,A06,T,T,30-44,T,T,0,0
2844,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
1404,5,A08,A12,A11,A03,A01,F,F,45-64,F,F,0,0
9330,5,A08,A12,A11,A03,A05,T,F,45-64,T,T,0,1
7294,5,A08,A12,A03,A11,A05,T,F,45-64,T,F,0,1
1081,5,A08,A12,A03,A11,A05,T,F,30-44,T,T,1,1
9186,5,A08,A12,A11,A03,A06,T,F,65+,F,T,0,1
2580,5,A08,A12,A03,A11,A06,F,T,45-64,T,T,0,0
989,5,A08,A12,A03,A11,A06,F,T,65+,F,T,0,0
3104,5,A08,A12,A11,A03,A06,F,F,45-64,F,T,0,1
6447,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,1,1
9048,5,A08,A12,A11,A03,A01,F,T,30-44,T,T,0,0
1454,5,A08,A12,A03,A11,A06,T,T,30-44,T,F,0,0
4441,5,A08,A12,A11,A03,A05,F,F,45-64,F,F,0,1
5889,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,1,1
4238,5,A08,A12,A03,A11,A01,F,T,45-64,T,F,0,0
3098,5,A08,A12,A11,A03,A06,T,F,45-64,T,F,1,1
6316,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
543,5,A08,A12,A11,A03,A01,F,T,30-44,F,T,0,0
8573,5,A08,A12,A11,A03,A01,T,F,45-64,T,T,0,0
6957,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
228,5,A08,A12,A11,A03,A05,F,T,30-44,T,T,0,1
1662,5,A08,A12,A11,A03,A06,T,T,45-64,T,F,1,1
3439,5,A08,A12,A03,A11,A06,T,T,45-64,T,T,1,0
8121,5,A08,A12,A03,A11,A01,F,F,65+,T,T,0,0
3588,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
6147,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,1,1
2935,5,A08,A12,A11,A03,A01,T,T,45-64,F,T,0,0
3592,5,A08,A12,A11,A03,A01,T,T,45-64,T,F,0,0
2490,5,A08,A12,A11,A03,A01,T,T,45-64,F,F,0,0
8784,5,A08,A12,A11,A03,A05,T,T,30-44,T,T,1,1
903,5,A08,A12,A03,A11,A05,T,T,30-44,T,T,1,1
838,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
588,5,A08,A12,A03,A11,A06,T,F,45-64,F,F,1,0
3079,5,A08,A12,A11,A03,A06,F,T,45-64,T,T,0,1
5378,5,A08,A12,A03,A11,A05,T,T,45-64,F,F,1,1
695,5,A08,A12,A11,A03,A01,T,T,45-64,T,F,0,0
5064,5,A08,A12,A11,A03,A06,F,T,45-64,F,F,0,1
2280,5,A08,A12,A11,A03,A06,F,F,65+,F,T,0,1
1227,5,A08,A12,A03,A11,A06,F,F,45-64,F,F,0,0
8722,5,A08,A12,A11,A03,A01,T,T,45-64,F,T,0,0
9055,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,1,1
1621,5,A08,A12,A03,A11,A06,T,F,45-64,F,T,0,0
7715,5,A08,A12,A11,A03,A06,F,T,45-64,T,T,0,1
8957,5,A08,A12,A11,A03,A06,T,F,30-44,F,F,1,1
1927,5,A08,A12,A03,A11,A01,F,F,45-64,F,T,0,0
4100,5,A08,A12,A11,A03,A01,T,T,30-44,F,T,0,0
9269,5,A08,A12,A11,A03,A05,T,F,45-64,F,T,0,1
3432,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
6293,5,A08,A12,A11,A03,A01,F,F,45-64,F,T,0,0
241,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,0,1
1840,5,A08,A12,A11,A03,A06,T,T,45-64,T,T,0,1
9023,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,1,1
9623,5,A08,A12,A11,A03,A06,T,T,30-44,F,T,1,1
7551,5,A08,A12,A03,A11,A05,F,F,45-64,T,T,0,1
8341,5,A08,A12,A03,A11,A01,F,T,30-44,T,F,0,0
7501,5,A08,A12,A11,A03,A01,T,T,45-64,F,F,0,0
8018,5,A08,A12,A03,A11,A01,F,F,45-64,T,T,0,0
6893,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
2058,5,A08,A12,A11,A03,A01,T,T,30-44,F,T,0,0
4865,5,A08,A12,A11,A03,A06,T,F,65+,T,T,1,1
6737,5,A08,A12,A03,A11,A06,T,T,45-64,T,F,1,0
7747,5,A08,A12,A11,A03,A05,F,T,30-44,F,F,0,1
9584,5,A08,A12,A11,A03,A06,T,F,45-64,F,T,0,1
